instant,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,temp_category,windspeed_category,season_weather
1,1,0,1,0,0,6,0,1,0.24,0.2879,0.81,0.0,3,13,16,Dingin,Rendah,1_1
2,1,0,1,1,0,6,0,1,0.22,0.2727,0.8,0.0,8,32,40,Dingin,Rendah,1_1
3,1,0,1,2,0,6,0,1,0.22,0.2727,0.8,0.0,5,27,32,Dingin,Rendah,1_1
4,1,0,1,3,0,6,0,1,0.24,0.2879,0.75,0.0,3,10,13,Dingin,Rendah,1_1
5,1,0,1,4,0,6,0,1,0.24,0.2879,0.75,0.0,0,1,1,Dingin,Rendah,1_1
6,1,0,1,5,0,6,0,2,0.24,0.2576,0.75,0.0896,0,1,1,Dingin,Rendah,1_2
7,1,0,1,6,0,6,0,1,0.22,0.2727,0.8,0.0,2,0,2,Dingin,Rendah,1_1
8,1,0,1,7,0,6,0,1,0.2,0.2576,0.86,0.0,1,2,3,Dingin,Rendah,1_1
9,1,0,1,8,0,6,0,1,0.24,0.2879,0.75,0.0,1,7,8,Dingin,Rendah,1_1
10,1,0,1,9,0,6,0,1,0.32,0.3485,0.76,0.0,8,6,14,Hangat,Rendah,1_1
11,1,0,1,10,0,6,0,1,0.38,0.3939,0.76,0.2537,12,24,36,Hangat,Sedang,1_1
12,1,0,1,11,0,6,0,1,0.36,0.3333,0.81,0.2836,26,30,56,Hangat,Sedang,1_1
13,1,0,1,12,0,6,0,1,0.42,0.4242,0.77,0.2836,29,55,84,Hangat,Sedang,1_1
14,1,0,1,13,0,6,0,2,0.46,0.4545,0.72,0.2985,47,47,94,Hangat,Sedang,1_2
15,1,0,1,14,0,6,0,2,0.46,0.4545,0.72,0.2836,35,71,106,Hangat,Sedang,1_2
16,1,0,1,15,0,6,0,2,0.44,0.4394,0.77,0.2985,40,70,110,Hangat,Sedang,1_2
17,1,0,1,16,0,6,0,2,0.42,0.4242,0.82,0.2985,41,52,93,Hangat,Sedang,1_2
18,1,0,1,17,0,6,0,2,0.44,0.4394,0.82,0.2836,15,52,67,Hangat,Sedang,1_2
19,1,0,1,18,0,6,0,3,0.42,0.4242,0.88,0.2537,9,26,35,Hangat,Sedang,1_3
20,1,0,1,19,0,6,0,3,0.42,0.4242,0.88,0.2537,6,31,37,Hangat,Sedang,1_3
21,1,0,1,20,0,6,0,2,0.4,0.4091,0.87,0.2537,11,25,36,Hangat,Sedang,1_2
22,1,0,1,21,0,6,0,2,0.4,0.4091,0.87,0.194,3,31,34,Hangat,Rendah,1_2
23,1,0,1,22,0,6,0,2,0.4,0.4091,0.94,0.2239,11,17,28,Hangat,Sedang,1_2
24,1,0,1,23,0,6,0,2,0.46,0.4545,0.88,0.2985,15,24,39,Hangat,Sedang,1_2
25,1,0,1,0,0,0,0,2,0.46,0.4545,0.88,0.2985,4,13,17,Hangat,Sedang,1_2
26,1,0,1,1,0,0,0,2,0.44,0.4394,0.94,0.2537,1,16,17,Hangat,Sedang,1_2
27,1,0,1,2,0,0,0,2,0.42,0.4242,1.0,0.2836,1,8,9,Hangat,Sedang,1_2
28,1,0,1,3,0,0,0,2,0.46,0.4545,0.94,0.194,2,4,6,Hangat,Rendah,1_2
29,1,0,1,4,0,0,0,2,0.46,0.4545,0.94,0.194,2,1,3,Hangat,Rendah,1_2
30,1,0,1,6,0,0,0,3,0.42,0.4242,0.77,0.2985,0,2,2,Hangat,Sedang,1_3
31,1,0,1,7,0,0,0,2,0.4,0.4091,0.76,0.194,0,1,1,Hangat,Rendah,1_2
32,1,0,1,8,0,0,0,3,0.4,0.4091,0.71,0.2239,0,8,8,Hangat,Sedang,1_3
33,1,0,1,9,0,0,0,2,0.38,0.3939,0.76,0.2239,1,19,20,Hangat,Sedang,1_2
34,1,0,1,10,0,0,0,2,0.36,0.3485,0.81,0.2239,7,46,53,Hangat,Sedang,1_2
35,1,0,1,11,0,0,0,2,0.36,0.3333,0.71,0.2537,16,54,70,Hangat,Sedang,1_2
36,1,0,1,12,0,0,0,2,0.36,0.3333,0.66,0.2985,20,73,93,Hangat,Sedang,1_2
37,1,0,1,13,0,0,0,2,0.36,0.3485,0.66,0.1343,11,64,75,Hangat,Rendah,1_2
38,1,0,1,14,0,0,0,3,0.36,0.3485,0.76,0.194,4,55,59,Hangat,Rendah,1_3
39,1,0,1,15,0,0,0,3,0.34,0.3333,0.81,0.1642,19,55,74,Hangat,Rendah,1_3
40,1,0,1,16,0,0,0,3,0.34,0.3333,0.71,0.1642,9,67,76,Hangat,Rendah,1_3
41,1,0,1,17,0,0,0,1,0.34,0.3333,0.57,0.194,7,58,65,Hangat,Rendah,1_1
42,1,0,1,18,0,0,0,2,0.36,0.3333,0.46,0.3284,10,43,53,Hangat,Sedang,1_2
43,1,0,1,19,0,0,0,1,0.32,0.2879,0.42,0.4478,1,29,30,Hangat,Sedang,1_1
44,1,0,1,20,0,0,0,1,0.3,0.2727,0.39,0.3582,5,17,22,Dingin,Sedang,1_1
45,1,0,1,21,0,0,0,1,0.26,0.2273,0.44,0.3284,11,20,31,Dingin,Sedang,1_1
46,1,0,1,22,0,0,0,1,0.24,0.2121,0.44,0.2985,0,9,9,Dingin,Sedang,1_1
47,1,0,1,23,0,0,0,1,0.22,0.2273,0.47,0.1642,0,8,8,Dingin,Rendah,1_1
48,1,0,1,0,0,1,1,1,0.22,0.197,0.44,0.3582,0,5,5,Dingin,Sedang,1_1
49,1,0,1,1,0,1,1,1,0.2,0.1667,0.44,0.4179,0,2,2,Dingin,Sedang,1_1
50,1,0,1,4,0,1,1,1,0.16,0.1364,0.47,0.3881,0,1,1,Dingin,Sedang,1_1
51,1,0,1,5,0,1,1,1,0.16,0.1364,0.47,0.2836,0,3,3,Dingin,Sedang,1_1
52,1,0,1,6,0,1,1,1,0.14,0.1061,0.5,0.3881,0,30,30,Dingin,Sedang,1_1
53,1,0,1,7,0,1,1,1,0.14,0.1364,0.5,0.194,1,63,64,Dingin,Rendah,1_1
54,1,0,1,8,0,1,1,1,0.14,0.1212,0.5,0.2836,1,153,154,Dingin,Sedang,1_1
55,1,0,1,9,0,1,1,1,0.16,0.1364,0.43,0.3881,7,81,88,Dingin,Sedang,1_1
56,1,0,1,10,0,1,1,1,0.18,0.1667,0.43,0.2537,11,33,44,Dingin,Sedang,1_1
57,1,0,1,11,0,1,1,1,0.2,0.1818,0.4,0.3284,10,41,51,Dingin,Sedang,1_1
58,1,0,1,12,0,1,1,1,0.22,0.2121,0.35,0.2985,13,48,61,Dingin,Sedang,1_1
59,1,0,1,13,0,1,1,1,0.24,0.2121,0.35,0.2836,8,53,61,Dingin,Sedang,1_1
60,1,0,1,14,0,1,1,1,0.26,0.2424,0.3,0.2836,11,66,77,Dingin,Sedang,1_1
61,1,0,1,15,0,1,1,1,0.26,0.2424,0.3,0.2537,14,58,72,Dingin,Sedang,1_1
62,1,0,1,16,0,1,1,1,0.26,0.2424,0.3,0.2537,9,67,76,Dingin,Sedang,1_1
63,1,0,1,17,0,1,1,1,0.24,0.2273,0.3,0.2239,11,146,157,Dingin,Sedang,1_1
64,1,0,1,18,0,1,1,1,0.24,0.2576,0.32,0.1045,9,148,157,Dingin,Rendah,1_1
65,1,0,1,19,0,1,1,1,0.2,0.2576,0.47,0.0,8,102,110,Dingin,Rendah,1_1
66,1,0,1,20,0,1,1,1,0.2,0.2273,0.47,0.1045,3,49,52,Dingin,Rendah,1_1
67,1,0,1,21,0,1,1,1,0.18,0.197,0.64,0.1343,3,49,52,Dingin,Rendah,1_1
68,1,0,1,22,0,1,1,1,0.14,0.1515,0.69,0.1343,0,20,20,Dingin,Rendah,1_1
69,1,0,1,23,0,1,1,1,0.18,0.2121,0.55,0.1045,1,11,12,Dingin,Rendah,1_1
70,1,0,1,0,0,2,1,1,0.16,0.1818,0.55,0.1045,0,5,5,Dingin,Rendah,1_1
71,1,0,1,1,0,2,1,1,0.16,0.1818,0.59,0.1045,0,2,2,Dingin,Rendah,1_1
72,1,0,1,2,0,2,1,1,0.14,0.1515,0.63,0.1343,0,1,1,Dingin,Rendah,1_1
73,1,0,1,4,0,2,1,1,0.14,0.1818,0.63,0.0896,0,2,2,Dingin,Rendah,1_1
74,1,0,1,5,0,2,1,1,0.12,0.1515,0.68,0.1045,0,4,4,Dingin,Rendah,1_1
75,1,0,1,6,0,2,1,1,0.12,0.1515,0.74,0.1045,0,36,36,Dingin,Rendah,1_1
76,1,0,1,7,0,2,1,1,0.12,0.1515,0.74,0.1343,2,92,94,Dingin,Rendah,1_1
77,1,0,1,8,0,2,1,1,0.14,0.1515,0.69,0.1642,2,177,179,Dingin,Rendah,1_1
78,1,0,1,9,0,2,1,1,0.16,0.1515,0.64,0.2239,2,98,100,Dingin,Sedang,1_1
79,1,0,1,10,0,2,1,2,0.16,0.1364,0.69,0.3284,5,37,42,Dingin,Sedang,1_2
80,1,0,1,11,0,2,1,1,0.22,0.2121,0.51,0.2985,7,50,57,Dingin,Sedang,1_1
81,1,0,1,12,0,2,1,1,0.22,0.2273,0.51,0.1642,12,66,78,Dingin,Rendah,1_1
82,1,0,1,13,0,2,1,1,0.24,0.2273,0.56,0.194,18,79,97,Dingin,Rendah,1_1
83,1,0,1,14,0,2,1,1,0.26,0.2576,0.52,0.2239,9,54,63,Dingin,Sedang,1_1
84,1,0,1,15,0,2,1,1,0.28,0.2727,0.52,0.2537,17,48,65,Dingin,Sedang,1_1
85,1,0,1,16,0,2,1,1,0.3,0.2879,0.49,0.2537,15,68,83,Dingin,Sedang,1_1
86,1,0,1,17,0,2,1,1,0.28,0.2727,0.48,0.2239,10,202,212,Dingin,Sedang,1_1
87,1,0,1,18,0,2,1,1,0.26,0.2576,0.48,0.194,3,179,182,Dingin,Rendah,1_1
88,1,0,1,19,0,2,1,1,0.24,0.2576,0.48,0.1045,2,110,112,Dingin,Rendah,1_1
89,1,0,1,20,0,2,1,1,0.24,0.2576,0.48,0.1045,1,53,54,Dingin,Rendah,1_1
90,1,0,1,21,0,2,1,1,0.22,0.2727,0.64,0.0,0,48,48,Dingin,Rendah,1_1
